
[br01 BR New London 3.600000]
<跳跃>
BR Manchester: 3G (2.1, 1.4) (79978, -52343) jumpgate 
GA01_planet_12: 9J (1.3, 2.1) (55260, 41655) planet_gaspurcld_5000 
GA01_planet_13: 13E (1.7, 2.2) (6213, 83510) planet_gasyelcld_1500 
GA01_planet_14: 12@ (1.5, 2.1) (-54477, 72538) planet_desored_3000 
GA01_planet_15: 8< (1.1, 2.4) (-92811, 30579) planet_gasgrncld_2000 
GA01_planet_16: 3A (1.3, 1.4) (-47971, -18676) planet_crater_600 
GA01_planet_17: 10D (2.8, 2.5) (-2559, 59216) planet_ice_blue_1500 
GA01_dsy_ga_lane_2_1: 8A (2.2, 2.6) (-42000, 36000) dsy_ga_lane 
GA01_dsy_ga_lane_2_2: 8A (2.8, 2.1) (-34666, 38834) dsy_ga_lane 
GA01_dsy_ga_lane_2_3: 9B (1.3, 1.5) (-27332, 41668) dsy_ga_lane 
GA01_dsy_ga_lane_2_4: 9C (1.9, 1.0) (-19998, 44502) dsy_ga_lane 
GA01_dsy_ga_lane_2_5: 9C (2.5, 2.5) (-12664, 47336) dsy_ga_lane 
GA01_dsy_ga_lane_2_6: 10D (1.0, 1.9) (-5330, 50170) dsy_ga_lane 
GA01_dsy_ga_lane_2_7: 10E (1.6, 1.4) (2004, 53004) dsy_ga_lane 
GA01_dsy_ga_lane_3_1: 3@ (1.0, 2.8) (-51000, -20000) dsy_ga_lane 
GA01_dsy_ga_lane_3_2: 3A (2.5, 1.0) (-49929, -12428) dsy_ga_lane 
GA01_dsy_ga_lane_3_3: 4A (2.0, 1.2) (-48858, -4856) dsy_ga_lane 
GA01_dsy_ga_lane_3_4: 5A (1.5, 1.4) (-47787, 2716) dsy_ga_lane 
GA01_dsy_ga_lane_3_5: 6A (1.1, 1.7) (-46716, 10288) dsy_ga_lane 
GA01_dsy_ga_lane_3_6: 6A (2.6, 1.9) (-45645, 17860) dsy_ga_lane 
GA01_dsy_ga_lane_3_7: 7A (2.1, 2.1) (-44574, 25432) dsy_ga_lane 
GA01_dsy_ga_lane_3_8: 8A (1.6, 2.3) (-43503, 33004) dsy_ga_lane 
GA01_dsy_ga_lane_4_1: 2@ (2.6, 2.4) (-53000, -22000) dsy_ga_lane 
GA01_dsy_ga_lane_4_2: 2? (2.5, 2.8) (-61100, -22600) dsy_ga_lane 
GA01_dsy_ga_lane_4_3: 2? (2.4, 1.2) (-69200, -23200) dsy_ga_lane 
GA01_dsy_ga_lane_4_4: 2> (2.2, 1.5) (-77300, -23800) dsy_ga_lane 
GA01_dsy_ga_lane_4_5: 2= (2.1, 1.9) (-85400, -24400) dsy_ga_lane 
GA01_dsy_ga_lane_4_6: 2< (2.0, 2.3) (-93500, -25000) dsy_ga_lane 
GA01_dsy_ga_lane_5_1: 0D (2.6, 1.6) (-7000, -52000) dsy_ga_lane 
GA01_dsy_ga_lane_5_2: 1C (1.6, 2.2) (-14167, -47084) dsy_ga_lane 
GA01_dsy_ga_lane_5_3: 1B (2.6, 2.7) (-21334, -42168) dsy_ga_lane 
GA01_dsy_ga_lane_5_4: 1B (1.5, 1.3) (-28501, -37252) dsy_ga_lane 
GA01_dsy_ga_lane_5_5: 1A (2.5, 1.9) (-35668, -32336) dsy_ga_lane 
GA01_dsy_ga_lane_5_6: 2A (1.5, 2.4) (-42835, -27420) dsy_ga_lane 
GA01_dsy_ga_lane_5_7: 2@ (2.5, 3.0) (-50002, -22504) dsy_ga_lane 
GA01_dsy_ga_lane_6_1: 1I (2.2, 1.6) (43000, -34000) dsy_ga_lane 
GA01_dsy_ga_lane_6_2: 1H (1.5, 1.7) (33600, -37700) dsy_ga_lane 
GA01_dsy_ga_lane_6_3: 1G (2.7, 1.8) (24200, -41400) dsy_ga_lane 
GA01_dsy_ga_lane_6_4: 1F (2.0, 2.0) (14800, -45100) dsy_ga_lane 
GA01_dsy_ga_lane_6_5: 1E (1.2, 2.1) (5400, -48800) dsy_ga_lane 
GA01_dsy_ga_lane_6_6: 0D (2.5, 2.2) (-4000, -52500) dsy_ga_lane 
GA01_dsy_ga_lane_7_1: 6J (2.8, 1.7) (53500, 19000) dsy_ga_lane 
GA01_dsy_ga_lane_7_2: 6J (1.1, 1.4) (52084, 10416) dsy_ga_lane 
GA01_dsy_ga_lane_7_3: 5J (1.4, 1.1) (50668, 1832) dsy_ga_lane 
GA01_dsy_ga_lane_7_4: 4I (1.6, 2.9) (49252, -6752) dsy_ga_lane 
GA01_dsy_ga_lane_7_5: 3I (1.9, 2.6) (47836, -15336) dsy_ga_lane 
GA01_dsy_ga_lane_7_6: 2I (2.2, 2.3) (46420, -23920) dsy_ga_lane 
GA01_dsy_ga_lane_7_7: 1I (2.5, 2.0) (45004, -32504) dsy_ga_lane 
GA01_dsy_ga_lane_8_1: 10F (1.5, 1.8) (14004, 52502) dsy_ga_lane 
GA01_dsy_ga_lane_8_2: 9G (2.5, 1.1) (20420, 47335) dsy_ga_lane 
GA01_dsy_ga_lane_8_3: 9G (1.4, 2.4) (26836, 42168) dsy_ga_lane 
GA01_dsy_ga_lane_8_4: 8H (2.4, 1.7) (33252, 37001) dsy_ga_lane 
GA01_dsy_ga_lane_8_5: 8H (1.4, 2.9) (39668, 31834) dsy_ga_lane 
GA01_dsy_ga_lane_8_6: 7I (2.3, 2.2) (46084, 26667) dsy_ga_lane 
GA01_dsy_ga_lane_8_7: 7J (1.3, 1.5) (52500, 21500) dsy_ga_lane 
GA01_dsy_ga_lane_9_1: 1I (2.0, 2.2) (45800, -34800) dsy_ga_lane 
GA01_dsy_ga_lane_9_2: 1J (2.7, 1.1) (50740, -41640) dsy_ga_lane 
GA01_dsy_ga_lane_9_3: 1J (1.3, 2.1) (55680, -48480) dsy_ga_lane 
GA01_dsy_ga_lane_9_4: 0K (1.9, 1.1) (60620, -55320) dsy_ga_lane 
GA01_dsy_ga_lane_9_5: -1K (2.6, 2.1) (65560, -62160) dsy_ga_lane 
GA01_dsy_ga_lane_9_6: -1L (1.2, 1.1) (70500, -69000) dsy_ga_lane 
GA01_dsy_ga_lane_10_1: 7J (1.0, 2.0) (55000, 20000) dsy_ga_lane 
GA01_dsy_ga_lane_10_2: 6K (2.8, 1.8) (63900, 19000) dsy_ga_lane 
GA01_dsy_ga_lane_10_3: 6L (2.6, 1.6) (72800, 18000) dsy_ga_lane 
GA01_dsy_ga_lane_10_4: 6M (2.4, 1.3) (81700, 17000) dsy_ga_lane 
GA01_dsy_ga_lane_10_5: 6N (2.2, 1.1) (90600, 16000) dsy_ga_lane 
GA01_dsy_ga_lane_10_6: 6N (2.0, 2.9) (99500, 15000) dsy_ga_lane 
GA01_dsy_ga_lane_11_1: 10E (2.5, 2.3) (6500, 57500) dsy_ga_lane 
GA01_dsy_ga_lane_11_2: 11E (1.9, 2.1) (5300, 64700) dsy_ga_lane 
GA01_dsy_ga_lane_11_3: 12E (1.4, 1.8) (4100, 71900) dsy_ga_lane 
GA01_dsy_ga_lane_11_4: 12E (2.8, 1.6) (2900, 79100) dsy_ga_lane 
GA01_dsy_ga_lane_11_5: 13E (2.3, 1.3) (1700, 86300) dsy_ga_lane 
GA01_dsy_ga_lane_11_6: 14E (1.7, 1.1) (500, 93500) dsy_ga_lane 
GA01_dsy_ga_lane_12_1: 7J (1.4, 1.8) (54000, 22000) dsy_ga_lane 
GA01_dsy_ga_lane_12_2: 8J (1.1, 2.2) (56000, 30700) dsy_ga_lane 
GA01_dsy_ga_lane_12_3: 8J (2.9, 2.6) (58000, 39400) dsy_ga_lane 
GA01_dsy_ga_lane_12_4: 9K (2.6, 1.0) (60000, 48100) dsy_ga_lane 
GA01_dsy_ga_lane_12_5: 10K (2.4, 1.4) (62000, 56800) dsy_ga_lane 
GA01_dsy_ga_lane_12_6: 11K (2.1, 1.8) (64000, 65500) dsy_ga_lane 
GA05_planet_1: 2; (2.9, 2.9) (-100283, -20734) planet_icelndwat_4000 
GA05_01_dock_ring: 2< (2.9, 1.8) (-95783, -20734) gallic_ring 
GA05_01_docking_fixture: 2< (2.7, 1.8) (-95783, -21334) docking_fixture 
GA01_01_dock_ring: 10F (1.5, 1.2) (11150, 52700) gallic_ring 
GA01_01_docking_fixture: 10F (1.5, 1.3) (11400, 52350) docking_fixture 
GA01_02_dock_ring: 10E (1.5, 1.9) (4450, 52300) gallic_ring 
GA01_02_docking_fixture: 10E (1.5, 1.9) (4750, 52600) docking_fixture 
GA01_03_dock_ring: 10E (1.8, 2.6) (8000, 54200) gallic_ring 
GA01_03_docking_fixture: 10E (1.8, 2.7) (8450, 54170) docking_fixture 
GA01_04: 0D (2.3, 1.7) (-6300, -53516) space_mining01 
GA01_ga_factory_large01_01: 0D (2.3, 1.9) (-5495, -53516) ga_factory_large01 
GA01_ga_factory_large01_02: 0D (2.3, 1.6) (-7105, -53516) ga_factory_large01 
GA01_ga_factory_large01_03: 0D (2.1, 1.7) (-6300, -54321) ga_factory_large01 
GA01_space_habitat_wide_02: 0D (2.3, 1.8) (-5755, -53516) space_habitat_wide 
GA01_space_habitat_wide_03: 0D (2.3, 1.6) (-6845, -53516) space_habitat_wide 
GA01_space_habitat_wide_04: 0D (2.2, 1.7) (-6299, -54061) space_habitat_wide 
GA01_ga_space_industrial_02: 0D (2.3, 1.7) (-6300, -53516) ga_space_industrial 
GA01_ga_space_industrial_03: 0D (2.2, 1.7) (-6300, -53884) ga_space_industrial 
GA01_ga_space_industrial_05: 0D (2.3, 1.8) (-5932, -53516) ga_space_industrial 
GA01_ga_space_tankl2x2_02: 0D (2.3, 1.8) (-5755, -53381) ga_space_tankl2x2 
GA01_ga_space_tankl2x2_03: 0D (2.3, 1.8) (-5755, -53651) ga_space_tankl2x2 
GA01_ga_space_industrial_06: 0D (2.3, 1.7) (-6668, -53516) ga_space_industrial 
GA01_05: 1I (1.8, 1.9) (44375, -36000) largestation1 
GA01_ga_space_research_01: 1I (1.8, 1.9) (44375, -36195) ga_space_research 
GA01_ga_space_industrial01_01: 1I (1.6, 1.8) (44008, -37094) ga_space_industrial01 
GA01_ga_space_tankl2x2_01: 1I (1.6, 1.7) (43639, -37094) ga_space_tankl2x2 
GA01_ga_space_research_02: 1I (1.8, 1.9) (44375, -36195) ga_space_research 
GA01_shipyard_01: 1I (1.6, 1.9) (44272, -37121) shipyard 
GA01_ga_habitat_big01_01: 1I (1.9, 1.9) (44375, -35296) ga_habitat_big01 
GA01_ga_habitat_big01_02: 1I (1.9, 1.9) (44375, -35296) ga_habitat_big01 
GA01_ga_space_industrial_01: 1I (1.8, 1.9) (44375, -36030) ga_space_industrial 
GA01_ga_refinery_01: 1I (1.8, 1.9) (44419, -36030) ga_refinery 
GA01_ga_refinery_02: 1I (1.8, 1.9) (44328, -36030) ga_refinery 
GA01_ga_ringcorridor_01: 1I (1.8, 1.9) (44375, -36030) ga_ringcorridor 
GA01_ga_habitat_big02_01: 1I (1.6, 1.9) (44375, -37094) ga_habitat_big02 
GA01_ga_ringcorridor_02: 0B (1.4, 1.4) (-27780, -58063) ga_ringcorridor 
GA01_ga_ringcorridor_03: 0B (1.4, 1.4) (-27780, -58063) ga_ringcorridor 
GA01_ga_tanks02_01: 0B (1.4, 1.4) (-27780, -57831) ga_tanks02 
GA01_ga_tanks02_02: 0B (1.4, 1.4) (-27992, -58155) ga_tanks02 
GA01_ga_tanks02_03: 0B (1.4, 1.5) (-27575, -58175) ga_tanks02 
GA01_08: 7J (1.0, 1.3) (51500, 20000) space_shipping01 
GA01_ga_horizontal_2x_01: 7J (1.0, 1.2) (51064, 20001) ga_horizontal_2x 
GA01_ga_connector_short_01: 7J (1.0, 1.2) (50899, 20001) ga_connector_short 
GA01_ga_connector_short_02: 7J (1.0, 1.2) (51227, 20001) ga_connector_short 
GA01_ga_habitat_big01_06: 7J (1.0, 1.4) (52142, 20000) ga_habitat_big01 
GA01_ga_space_tankl2x2_07: 7J (1.0, 1.2) (50760, 20000) ga_space_tankl2x2 
GA01_ga_space_tankl2x2_08: 6J (3.0, 1.4) (51883, 19999) ga_space_tankl2x2 
GA01_ga_space_tankl2x2_09: 6J (3.0, 1.4) (51883, 19999) ga_space_tankl2x2 
GA01_ga_habitat_big02_04: 7J (1.0, 1.2) (50900, 20000) ga_habitat_big02 
GA01_ga_habitat_big02_05: 7J (1.0, 1.2) (51227, 20000) ga_habitat_big02 
GA01_ga_horizontal_2x_02: 7J (1.0, 1.1) (50666, 20001) ga_horizontal_2x 
GA01_ga_horizontal_2x_03: 7J (1.0, 1.3) (51461, 20001) ga_horizontal_2x 
GA01_ga_acad_yard_03: 6J (2.9, 1.2) (50775, 19643) ga_acad_yard 
GA01_ga_acad_yard_04: 6J (2.9, 1.3) (51353, 19643) ga_acad_yard 
GA01_ga_acad_yard_05: 7J (1.1, 1.3) (51353, 20359) ga_acad_yard 
GA01_ga_acad_yard_06: 7J (1.1, 1.2) (50775, 20359) ga_acad_yard 
GA01_09: 10E (2.4, 1.6) (3239, 56861) space_freeport01 
GA01_ga_ringcorridor_07: 10E (2.4, 1.6) (3239, 56861) ga_ringcorridor 
GA01_ga_ringcorridor_08: 10E (2.4, 1.6) (3239, 56861) ga_ringcorridor 
GA01_ga_ringcorridor_09: 10E (2.4, 1.7) (3725, 56756) ga_ringcorridor 
GA01_ga_ringcorridor_10: 10E (2.4, 1.7) (3725, 56966) ga_ringcorridor 
GA01_ga_ringcorridor_15: 10E (2.4, 1.6) (2753, 56756) ga_ringcorridor 
GA01_ga_ringcorridor_16: 10E (2.4, 1.6) (2753, 56966) ga_ringcorridor 
GA01_ga_space_industrial01_03: 10E (2.4, 1.7) (3548, 56861) ga_space_industrial01 
GA01_ga_space_industrial01_04: 10E (2.4, 1.6) (2930, 56861) ga_space_industrial01 
GA01_space_habitat_tall_01: 10E (2.4, 1.6) (3239, 57120) space_habitat_tall 
GA01_space_habitat_tall_02: 10E (2.3, 1.6) (3239, 56600) space_habitat_tall 
GA01_ga_fighterbay01_01: 10E (2.4, 1.8) (3953, 56877) ga_fighterbay01 
GA01_10: 7J (1.2, 2.0) (55000, 21200) ga_battleship 
GA01_12: 2A (2.9, 1.2) (-49017, -20549) smallstation1 
GA01_ga_acad_main_01: 2A (2.9, 1.1) (-49523, -20515) ga_acad_main 
GA01_ga_acad_main_02: 2A (2.9, 1.3) (-48511, -20515) ga_acad_main 
GA01_ga_ringcorridor_04: 2A (2.9, 1.1) (-49523, -20477) ga_ringcorridor 
GA01_ga_ringcorridor_05: 2A (2.9, 1.3) (-48511, -20477) ga_ringcorridor 
GA01_ga_palace_01: 2A (2.7, 1.2) (-49017, -21500) ga_palace 
GA01_13: 8A (1.7, 2.7) (-41295, 33289) space_mining01 
GA01_shipyard_02: 8A (1.7, 2.6) (-41925, 33289) shipyard 
GA01_shipyard_03: 8A (1.7, 2.7) (-41295, 33289) shipyard 
GA01_ga_space_industrial_07: 8A (1.7, 2.7) (-41295, 33289) ga_space_industrial 
GA01_ga_space_industrial_08: 8A (1.7, 2.6) (-41922, 33289) ga_space_industrial 
GA01_ga_factory_large01_05: 8A (1.7, 2.6) (-41785, 33289) ga_factory_large01 
GA01_ga_habitat_big01_04: 8A (1.7, 2.6) (-42153, 33290) ga_habitat_big01 
GA01_14: 10E (2.3, 3.0) (9800, 56700) smallstation1 
GA01_ga_ringcorridor_06: 10E (2.4, 3.0) (9800, 56918) ga_ringcorridor 
GA01_ga_palace_02: 10E (2.4, 3.0) (9800, 57150) ga_palace 
GA01_15: 8M (1.7, 1.2) (81130, 33568) miningbase_FragA 
GA01_ga_space_industrial01_09: 8M (1.7, 1.2) (81125, 33574) ga_space_industrial01 
GA01_ga_habitat_big02_02: 8M (1.7, 1.2) (81125, 33568) ga_habitat_big02 
GA01_ga_space_tankl2x2_04: 8M (1.7, 1.3) (81260, 33574) ga_space_tankl2x2 
GA01_18: 11K (2.3, 1.9) (64402, 66682) space_mining01 
GA01_ga_acad_main_03: 11K (2.4, 1.9) (64402, 67077) ga_acad_main 
GA01_ga_habitat_big02_03: 11K (2.3, 1.9) (64402, 66682) ga_habitat_big02 
GA01_19: 7D (1.9, 2.9) (-515, 24497) prison 
GA01_Roid_Miner_1: 11? (2.4, 1.0) (-60000, 67000) Roid_Miner 

[ga02 GA Orleanais 2.000000]
<跳跃>
GA Ile-de-France: 2D (2.0, 2.6) (-3500, -50000) jumpgate_ga 
GA Dauphine: 3G (1.1, 1.9) (49000, -39000) jumpgate_ga 
GA Auvergne: 7C (1.7, 1.1) (-39500, 47000) jumpgate_ga 
GA Dauphine: 2F (2.4, 2.2) (32000, -46000) jumphole_red 
GA Ile-de-France: 2E (1.9, 2.3) (13000, -51000) jumphole_red 
GA Auvergne: 7E (1.4, 2.7) (17000, 44000) jumphole_red 
<基地>
GA02_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
GA02_Sun2: 3? (1.0, 1.0) (-120000, -40000) sun_1000 
GA02_planet_1: 3F (2.8, 1.0) (20045, -22080) planet_earth_3000 
GA02_planet_2: 4C (2.1, 1.4) (-36292, -9000) planet_watbluislcld_2500 
GA02_planet_3: 2D (2.0, 1.8) (-12000, -49700) planet_gasorgcld_2000 
GA02_planet_4: 3B (1.1, 2.2) (-48454, -39438) planet_crater_4000 
GA02_planet_5: 6C (1.4, 1.8) (-31759, 23888) planet_desormed_1000 
GA02_planet_6: 3H (2.3, 1.0) (60000, -27000) planet_desorcld_3000 
GA02_planet_7: 4C (1.6, 1.6) (-33725, -14245) planet_mercury_800 
GA02_planet_8: 6G (1.7, 1.5) (45116, 26795) planet_ice_purple_3000 
GA02_planet_9: 5F (2.1, 2.4) (34000, 11000) planet_crater_400 
GA02_dsy_ga_lane_1_1: 2D (2.4, 2.8) (-2500, -46000) dsy_ga_lane 
GA02_dsy_ga_lane_1_2: 2E (2.8, 1.3) (2600, -42000) dsy_ga_lane 
GA02_dsy_ga_lane_1_3: 3E (1.2, 1.8) (7700, -38000) dsy_ga_lane 
GA02_dsy_ga_lane_1_4: 3E (1.6, 2.3) (12800, -34000) dsy_ga_lane 
GA02_dsy_ga_lane_1_5: 3E (2.0, 2.8) (17900, -30000) dsy_ga_lane 
GA02_dsy_ga_lane_1_6: 3F (2.4, 1.3) (23000, -26000) dsy_ga_lane 
GA02_dsy_ga_lane_2_1: 3F (2.5, 1.6) (26500, -25500) dsy_ga_lane 
GA02_dsy_ga_lane_2_2: 3F (2.1, 2.2) (31750, -28625) dsy_ga_lane 
GA02_dsy_ga_lane_2_3: 3F (1.8, 2.7) (37000, -31750) dsy_ga_lane 
GA02_dsy_ga_lane_2_4: 3G (1.5, 1.2) (42250, -34875) dsy_ga_lane 
GA02_dsy_ga_lane_2_5: 3G (1.2, 1.8) (47500, -38000) dsy_ga_lane 
GA02_dsy_ga_lane_3_1: 3F (2.8, 1.5) (25000, -22000) dsy_ga_lane 
GA02_dsy_ga_lane_3_2: 4F (1.6, 1.7) (26750, -14250) dsy_ga_lane 
GA02_dsy_ga_lane_3_3: 4F (2.4, 1.9) (28500, -6500) dsy_ga_lane 
GA02_dsy_ga_lane_3_4: 5F (1.1, 2.0) (30250, 1250) dsy_ga_lane 
GA02_dsy_ga_lane_3_5: 5F (1.9, 2.2) (32000, 9000) dsy_ga_lane 
GA02_dsy_ga_lane_4_1: 5F (2.1, 2.1) (31000, 11000) dsy_ga_lane 
GA02_dsy_ga_lane_4_2: 5F (2.3, 1.4) (24100, 13000) dsy_ga_lane 
GA02_dsy_ga_lane_4_3: 5E (2.5, 2.7) (17200, 15000) dsy_ga_lane 
GA02_dsy_ga_lane_4_4: 5E (2.7, 2.0) (10300, 17000) dsy_ga_lane 
GA02_dsy_ga_lane_4_5: 5E (2.9, 1.3) (3400, 19000) dsy_ga_lane 
GA02_dsy_ga_lane_4_6: 6D (1.1, 2.6) (-3500, 21000) dsy_ga_lane 
GA02_dsy_ga_lane_5_1: 4C (2.3, 1.8) (-32000, -7000) dsy_ga_lane 
GA02_dsy_ga_lane_5_2: 4C (2.9, 2.3) (-26900, -1500) dsy_ga_lane 
GA02_dsy_ga_lane_5_3: 5C (1.4, 2.8) (-21800, 4000) dsy_ga_lane 
GA02_dsy_ga_lane_5_4: 5D (1.9, 1.3) (-16700, 9500) dsy_ga_lane 
GA02_dsy_ga_lane_5_5: 5D (2.5, 1.8) (-11600, 15000) dsy_ga_lane 
GA02_dsy_ga_lane_5_6: 6D (1.1, 2.4) (-6500, 20500) dsy_ga_lane 
GA02_dsy_ga_lane_8_1: 7C (1.5, 1.2) (-38000, 45000) dsy_ga_lane 
GA02_dsy_ga_lane_8_2: 7C (1.1, 1.8) (-31700, 40600) dsy_ga_lane 
GA02_dsy_ga_lane_8_3: 6C (2.6, 2.5) (-25400, 36200) dsy_ga_lane 
GA02_dsy_ga_lane_8_4: 6D (2.2, 1.1) (-19100, 31800) dsy_ga_lane 
GA02_dsy_ga_lane_8_5: 6D (1.7, 1.7) (-12800, 27400) dsy_ga_lane 
GA02_dsy_ga_lane_8_6: 6D (1.3, 2.4) (-6500, 23000) dsy_ga_lane 
GA02_01_dock_ring: 3F (2.6, 1.3) (22900, -23700) gallic_ring 
GA02_01_docking_fixture: 3F (2.6, 1.3) (22670, -24100) docking_fixture 
GA02_02_dock_ring: 4C (2.1, 1.6) (-33650, -9100) gallic_ring 
GA02_02_docking_fixture: 4C (2.1, 1.6) (-33700, -8700) docking_fixture 
GA02_03: 3F (2.7, 1.7) (26937, -22956) space_mining01 
GA02_shipyard_01: 3F (2.7, 1.7) (27295, -23100) shipyard 
GA02_shipyard_02: 3F (2.7, 1.8) (27581, -23100) shipyard 
GA02_ga_space_industrial_01: 3F (2.7, 1.7) (27313, -22956) ga_space_industrial 
GA02_ga_space_industrial_02: 3F (2.7, 1.8) (27564, -22956) ga_space_industrial 
GA02_shipyard_03: 3F (2.7, 1.7) (27295, -23055) shipyard 
GA02_shipyard_04: 3F (2.7, 1.8) (27581, -23055) shipyard 
GA02_ga_habitat_big02_01: 3F (2.7, 1.7) (26937, -22956) ga_habitat_big02 
GA02_04: 2F (2.3, 1.1) (21413, -46658) miningbase_FragB 
GA02_ga_habitat_big02_02: 2F (2.3, 1.1) (21396, -46666) ga_habitat_big02 
GA02_ga_tanks02_01: 2F (2.3, 1.1) (21441, -46593) ga_tanks02 
GA02_05: 2D (2.2, 2.4) (-5912, -47884) largestation1 
GA02_ga_ringcorridor_12: 2D (2.3, 2.4) (-5708, -47385) ga_ringcorridor 
GA02_ga_ringcorridor_08: 2D (2.3, 2.4) (-5708, -47385) ga_ringcorridor 
GA02_ga_ringcorridor_02: 2D (2.3, 2.4) (-5708, -47385) ga_ringcorridor 
GA02_ga_ringcorridor_04: 2D (2.3, 2.4) (-5708, -47385) ga_ringcorridor 
GA02_ga_ringcorridor_06: 2D (2.3, 2.4) (-5708, -47385) ga_ringcorridor 
GA02_ga_ringcorridor_01: 2D (2.3, 2.4) (-5708, -47385) ga_ringcorridor 
GA02_ga_ringcorridor_10: 2D (2.3, 2.4) (-5708, -47385) ga_ringcorridor 
GA02_ga_space_industrial_03: 2D (2.2, 2.5) (-5463, -47569) ga_space_industrial 
GA02_ga_space_research_01: 2D (2.3, 2.4) (-5708, -47385) ga_space_research 
GA02_ga_ringcorridor_05: 2D (2.3, 2.4) (-5708, -47385) ga_ringcorridor 
GA02_ga_vertical_03: 2D (2.3, 2.4) (-5617, -47392) ga_vertical 
GA02_ga_space_industrial_04: 2D (2.2, 2.5) (-5463, -47569) ga_space_industrial 
GA02_ga_vertical_01: 2D (2.3, 2.4) (-5617, -47392) ga_vertical 
GA02_ga_ringcorridor_2x_01: 2D (2.3, 2.4) (-5708, -47385) ga_ringcorridor_2x 
GA02_06: 2D (2.2, 2.8) (-1939, -47842) space_shipping01 
GA02_ga_tanks02_05: 2D (2.2, 2.8) (-1939, -48443) ga_tanks02 
GA02_ga_tanks02_04: 2D (2.2, 2.8) (-1939, -48115) ga_tanks02 
GA02_ga_tanks02_03: 2D (2.2, 2.8) (-1939, -47788) ga_tanks02 
GA02_ga_tanks02_02: 2D (2.3, 2.8) (-1939, -47460) ga_tanks02 
GA02_07: 4B (2.9, 2.5) (-45500, -1000) space_factory02 
GA02_ga_space_industrial01_05: 4B (2.9, 2.5) (-45500, -1000) ga_space_industrial01 
GA02_ga_habitat_big01_01: 4B (2.9, 2.5) (-45500, -1000) ga_habitat_big01 
GA02_ga_factory_large01_02: 4B (2.9, 2.4) (-46190, -750) ga_factory_large01 
GA02_ga_factory_large01_01: 4B (2.9, 2.4) (-46190, -1250) ga_factory_large01 
GA02_09: 5F (2.0, 2.3) (32874, 10170) space_freeport01 
GA02_ga_space_industrial_07: 5F (2.0, 2.3) (33134, 10170) ga_space_industrial 
GA02_ga_vertical_04: 5F (2.0, 2.3) (33134, 10170) ga_vertical 
GA02_ga_habitat_big02_05: 5F (2.0, 2.3) (32614, 10170) ga_habitat_big02 
GA02_ga_fighterbay01_01: 5F (2.0, 2.3) (32962, 10154) ga_fighterbay01 
GA02_10: 4C (2.1, 1.9) (-31204, -8713) smallstation1_old 
GA02_ga_palace_02: 4C (2.1, 1.9) (-31270, -8712) ga_palace 
GA02_ga_habitat_big02_03: 4C (2.1, 1.9) (-31204, -8713) ga_habitat_big02 
GA02_11: 7D (1.8, 1.6) (-13558, 48223) miningbase_mineableB 
GA02_ga_ringcorridor_13: 7D (1.8, 1.6) (-13550, 48216) ga_ringcorridor 
GA02_12: 5D (2.9, 2.5) (-4831, 19250) largestation1 
GA02_ga_refinery_01: 5D (2.8, 2.5) (-4831, 17687) ga_refinery 
GA02_ga_habitat_big01_2x_01: 5D (2.8, 2.5) (-4831, 17912) ga_habitat_big01_2x 
GA02_ga_space_industrial01_07: 5D (2.8, 2.5) (-4764, 18100) ga_space_industrial01 
GA02_ga_space_industrial01_06: 5D (2.8, 2.5) (-4898, 18100) ga_space_industrial01 
GA02_ga_horizontal_2x_01: 5D (2.9, 2.5) (-4831, 18543) ga_horizontal_2x 
GA05_02: 4B (2.8, 2.4) (-45995, -2132) space_mining01 

[ga03 GA Picardie 2.000000]
<跳跃>
GA Ile-de-France: 7F (1.2, 2.8) (38000, 42500) jumpgate_ga 
GA Maine: 7C (1.7, 1.0) (-40000, 47000) jumpgate_ga_nodock 
GA Ile-de-France: 7E (1.7, 2.0) (10000, 47000) jumphole_red 
GA Champagne: 3G (1.7, 1.6) (45901, -33162) jumphole_red 
<基地>
GA03_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
GA03_Sun2: 7K (1.4, 2.0) (130000, 44000) sun_1000 
GA03_planet_1: 6E (1.9, 1.4) (4000, 29000) planet_desormed_3000 
GA03_planet_2: 2G (2.5, 1.0) (40000, -45000) planet_gasicecld_3000 
GA03_planet_3: 2B (2.3, 2.2) (-48000, -47000) planet_moonred_3000 
GA03_planet_4: 3F (1.1, 2.5) (35000, -39500) planet_desert_800 
GA03_planet_5: 4B (2.2, 2.0) (-49500, -7500) planet_desormed_1000 
GA03_planet_6: 5D (2.3, 1.6) (-14264, 13383) planet_rckdes_2000 
GA03_planet_7: 7F (1.4, 2.5) (35000, 44000) planet_gaspurcld_1000 
GA03_planet_8: 5G (1.5, 2.0) (49768, 5057) planet_desert_2000 
GA03_dsy_ga_lane_1_1: 7F (1.1, 2.6) (36000, 41500) dsy_ga_lane 
GA03_dsy_ga_lane_1_2: 6F (2.8, 2.0) (30100, 38300) dsy_ga_lane 
GA03_dsy_ga_lane_1_3: 6F (2.5, 1.4) (24200, 35100) dsy_ga_lane 
GA03_dsy_ga_lane_1_4: 6E (2.2, 2.8) (18300, 31900) dsy_ga_lane 
GA03_dsy_ga_lane_1_5: 6E (1.9, 2.2) (12400, 28700) dsy_ga_lane 
